EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.226204,0,0.361185,1.00327,0,0,0.285581,0,0,0.164562,0,0.270738,0.752076,0.752579,0,0,0.0175076,0.466673,0.458351,0.186411,0.123154,0,0.0258307,0.350052,0,0,0.118935,0.170153,0,0.0049444,0,0,0,0,0,0,0.500261,0.0365091,0,0,0,0.502031,0,0,0,0,0.000637554,0,0.138139,0.85648,
0.214904,0,0.387839,1.0035,0,0,0.284933,0,0,0.203081,0,0.270089,0.750862,0.751363,0,0,0.0271304,0.46707,0.473754,0.176372,0.123416,0,0.0262785,0.341451,0,0,0.122658,0.173901,0,0.00531266,0,0,0,0,0,0,0.491105,0.0349401,0,0,0,0.502449,0,0,0,0,0.00535869,2.13029e-06,0.136367,0.850726,
0.207146,0,0.410283,1.00347,0,0,0.28407,0,0,0.229441,0,0.269225,0.749005,0.749503,0,0,0.0354164,0.465616,0.484186,0.167176,0.149802,0,0.0305868,0.327603,0,0,0.120353,0.175349,0,0.00159746,0,0,0,0,0,0,0.476391,0.0229424,0,5.50134e-05,0,0.511961,0,0,0,0,0.0118943,4.06526e-05,0.122071,0.854288,
0.207012,0,0.421757,1.00334,0,0,0.281859,0,0,0.240791,0,0.267011,0.748084,0.748578,0,0,0.0299829,0.468929,0.473276,0.168731,0.159975,0,0.0373431,0.309983,0,0,0.119,0.182175,0,8.04011e-05,0,0,0,0,0,0,0.46889,0.00955525,0,0.0010756,0,0.517524,0,0,0,0,0.00428604,0.000108636,0.103918,0.863417,
0.212251,0,0.41205,1.00328,0,0,0.279608,0,0,0.242449,0,0.264756,0.747659,0.748149,0,0,0.0255877,0.468972,0.473733,0.172989,0.15295,0,0.0514114,0.294896,0,0,0.124742,0.191394,0,0,0,0,0,0,0,0,0.469929,0.00270045,0,0.00329706,0,0.518738,0,0,0,0,0.000223181,4.06526e-05,0.0938431,0.860853,
0.237538,0.00117924,0.352699,1.00197,0,0,0.27775,0,0,0.230698,0,0.262896,0.745986,0.746471,0,0,0.0393622,0.46754,0.495056,0.175453,0.142529,0,0.0679585,0.28446,0,0,0.141761,0.203156,0.000183158,0,0,0,0,0,0,0,0.473327,0.0038464,0,0.00236009,0,0.520008,0,0,0,0,0,2.13029e-06,0.0961067,0.857661,
0.32593,0.0259737,0.17677,0.977957,0,0,0.278865,0,0,0.188645,0,0.264012,0.741364,0.741848,0,0,0.0981255,0.501438,0.535388,0.189953,0.147184,0,0.0806431,0.282908,0,0,0.176436,0.223788,0.00357343,0,0,0,0,0,0,8.98689e-05,0.482167,0.0118033,0,0.000545146,0,0.531657,0,0,0,0,0,0,0.097634,0.869427,
0.432978,0.156437,0.0252526,0.785128,0,0,0.283293,0,0,0.0257187,0,0.268446,0.738741,0.739231,0,0,0.292142,0.656057,0.629707,0.233356,0.191974,0,0.0887814,0.29728,0,0,0.231142,0.259633,0.0108264,0,0,0,0,0,0,0.00175499,0.501602,0.0324739,0,2.56835e-05,0,0.568643,0,0,0,0,0,0,0.0990322,0.883247,
0.504101,0.178172,0.00118126,0.73995,0,0,0.278578,0,0,0.00114891,0,0.263725,0.740764,0.741248,0,0,0.680205,0.85906,0.812019,0.271759,0.258001,0,0.092489,0.319918,0,0,0.288408,0.3015,0.00733554,6.52014e-05,0,0,0,0,0,0.00534566,0.518911,0.057653,0,0,0,0.602665,0,0,0,0,0,0,0.104785,0.897335,
0.544165,0.185928,0,0.698139,0,0,0.280565,0,0,0,0,0.265714,0.743827,0.744315,0,0,0.873179,0.960753,0.974668,0.299699,0.297892,0,0.092927,0.34358,0,0,0.331182,0.341305,0.00161435,0.00127814,0,0,0,0,0,0.003738,0.533779,0.0810063,0,0,0,0.623615,0,0,0,0,0,0,0.126926,0.907563,
0.586711,0.201723,0,0.63011,0,0,0.289491,0,0,0,0,0.274652,0.752353,0.752864,0,0,0.924987,0.994019,0.998823,0.326652,0.326584,0,0.100132,0.371023,0,0,0.354906,0.369483,7.49814e-05,0.00405603,0,0,0,0,0,0.000846159,0.552855,0.0999235,0,0,0,0.625876,0,0,0,0,0,0,0.160571,0.914022,
0.62473,0.235971,0,0.525867,0,0,0.299778,0,0,0,0,0.284953,0.748969,0.749495,0,0,0.930831,0.999747,1,0.366723,0.366557,0,0.119862,0.411954,0,0,0.346263,0.370617,0,0.00462332,0,0,0,0,0,3.96289e-05,0.571524,0.114817,0,0,0,0.617107,0,0,0,0,0,0,0.200674,0.918432,
0.646317,0.274839,0,0.405369,0,0,0.304364,0,0,0,0,0.289546,0.746407,0.74694,0,0,0.924513,1,1,0.409699,0.405963,0,0.144114,0.463065,0,0,0.304345,0.339605,0,0.00587547,0,0,0,0,0,3.5921e-05,0.583913,0.123321,0,0,0,0.608629,0,0,0,0,0,0,0.247027,0.915481,
0.654021,0.30361,0,0.290348,0,0,0.303921,0,0,0,0,0.289102,0.75505,0.755589,0,0,0.935622,1,0.999909,0.421368,0.409665,0,0.16259,0.503118,0,0,0.280417,0.324416,0,0.00393653,0,0,0,0,0,0.00076033,0.589447,0.130961,0,0,0,0.608941,0,0,0,0,0,0,0.285498,0.90857,
0.657487,0.320589,0,0.195585,0,0,0.305456,0,0,0,0,0.290639,0.761721,0.762267,0,0,0.946325,1,0.998263,0.411912,0.400153,0,0.170645,0.543523,0,0,0.286539,0.333311,0,0.000941319,0,0,0,0,0,0.00331247,0.596176,0.143153,0,0,0,0.619007,0,0,0,0,0,0,0.299188,0.903946,
0.666187,0.339349,0,0.100605,0,0,0.306391,0,0,0,0,0.291576,0.769649,0.770203,0,0,0.951269,1,0.995353,0.400611,0.38733,0,0.172925,0.58142,0,0,0.309349,0.357633,0,4.49008e-05,0,0,0,0,0,0.00553468,0.606386,0.155818,0,0,0,0.63163,0,0,0,0,0,0,0.303447,0.902368,
0.679894,0.365207,0,0.024692,0,0,0.306313,0,0,0,0,0.291498,0.782068,0.78263,0,0,0.947384,1,0.998031,0.398446,0.386002,0,0.174885,0.60153,0,0,0.332032,0.384549,0,1.50539e-05,0,0,0,0,0,0.00496217,0.610854,0.159269,0,0,0,0.629604,0,0,0,0,0,0,0.302217,0.905294,
0.691498,0.3827,0,0.00260935,0,0,0.308381,0,0,0,0,0.293569,0.782932,0.783499,0,0,0.932065,1,0.995274,0.403484,0.399635,0,0.178108,0.614636,0,0,0.338324,0.397152,0,0.000287277,0,0,0,0,0,0.00336776,0.604627,0.154827,0,0,0,0.622463,0,0,0,0,0,0,0.305026,0.908523,
0.69852,0.38687,0,8.86458e-05,0,0,0.315107,0,0,0,0,0.300305,0.777759,0.778335,0,0,0.923719,0.999956,0.984227,0.410794,0.406788,0,0.181531,0.624802,0,0,0.336002,0.401382,0,0.000767717,0,0,0,0,0,0.000973138,0.589586,0.150824,0,0,0,0.619308,0,0,0,0,0,0,0.311495,0.910318,
0.708805,0.386869,0,6.20309e-08,0,0,0.315826,0,0,0,0,0.301025,0.777817,0.778395,0,0,0.92997,0.999163,0.98529,0.412178,0.398107,0,0.179235,0.628662,0,0,0.341996,0.412118,0,0.000287277,0,0,0,0,0,0.00115971,0.574726,0.151522,0,0,0,0.614967,0,0,0,0,0,0,0.314725,0.917631,
0.716946,0.389011,0,0,0,0,0.31277,0,0,0,0,0.297965,0.77827,0.778841,0,0,0.937707,0.997705,0.995954,0.405258,0.387491,0,0.174559,0.631375,0,0,0.357261,0.429274,0,1.50539e-05,0,0,0,0,0,0.00301074,0.565885,0.151538,0,0,0,0.612846,0,0,0,0,0,0,0.315448,0.928574,
